,x,y,Appliances
0,46.0,41.569219381653056,60
1,44.0,0.0,60
2,42.5,2.598076211353316,50
3,39.5,7.794228634059948,50
4,3.5,40.70319397786862,60
5,40.0,8.660254037844387,50
6,41.0,10.392304845413264,60
7,45.5,6.062177826491071,60
8,45.5,6.062177826491071,60
9,2.0,39.83716857408418,70
10,49.0,1.7320508075688776,230
11,1.0,41.569219381653056,580
12,45.0,6.9282032302755105,430
13,48.0,3.4641016151377553,250
14,41.0,8.660254037844387,100
15,1.0,6.9282032302755105,100
16,44.0,8.660254037844387,90
17,40.5,9.526279441628825,70
18,49.0,3.4641016151377553,80
19,44.0,8.660254037844387,140
20,42.0,10.392304845413264,120
21,1.0,0.0,190
22,46.0,6.9282032302755105,110
23,1.5,40.70319397786862,110
24,0.5,0.8660254037844388,110
25,49.0,3.4641016151377553,110
26,2.0,39.83716857408418,100
27,49.0,3.4641016151377553,100
28,40.5,9.526279441628825,100
29,4.0,3.4641016151377553,100
30,3.5,7.794228634059948,110
31,46.0,6.9282032302755105,400
32,4.0,8.660254037844387,400
33,3.0,39.83716857408418,390
34,39.5,9.526279441628825,240
35,45.5,7.794228634059948,60
36,39.5,9.526279441628825,60
37,2.0,38.1051177665153,60
38,40.0,10.392304845413264,50
39,4.0,6.9282032302755105,70
40,42.0,12.124355652982143,60
41,47.5,12.99038105676658,40
42,43.5,12.99038105676658,40
43,49.5,12.99038105676658,30
44,0.5,11.258330249197702,40
45,42.5,11.258330249197702,50
46,1.0,38.1051177665153,310
47,48.0,5.196152422706632,380
48,43.5,7.794228634059948,380
49,44.5,7.794228634059948,370
50,0.5,6.062177826491071,120
51,39.5,9.526279441628825,50
52,2.5,6.062177826491071,40
53,2.5,42.4352447854375,50
54,1.5,38.97114317029974,40
55,0.5,38.97114317029974,50
56,2.5,2.598076211353316,50
57,1.0,6.9282032302755105,50
58,44.5,7.794228634059948,40
59,2.0,5.196152422706632,40
60,39.5,9.526279441628825,30
61,2.0,1.7320508075688776,20
62,1.5,6.062177826491071,20
63,1.5,2.598076211353316,40
64,44.5,7.794228634059948,50
65,1.0,0.0,50
66,0.5,6.062177826491071,40
67,41.0,8.660254037844387,50
68,1.0,39.83716857408418,40
69,40.0,8.660254037844387,40
70,1.5,2.598076211353316,40
71,40.0,8.660254037844387,60
72,2.0,3.4641016151377553,50
73,1.5,2.598076211353316,50
74,0.5,6.062177826491071,40
75,40.0,8.660254037844387,40
76,40.0,8.660254037844387,40
77,1.5,4.330127018922194,40
78,41.0,8.660254037844387,50
79,40.5,9.526279441628825,70
80,1.0,5.196152422706632,40
81,44.5,9.526279441628825,30
82,0.5,4.330127018922194,20
83,1.0,3.4641016151377553,30
84,44.0,10.392304845413264,40
85,1.5,42.4352447854375,50
86,45.0,8.660254037844387,60
87,1.0,41.569219381653056,60
88,0.5,0.8660254037844388,70
89,1.0,41.569219381653056,60
90,0.0,0.0,140
91,0.5,40.70319397786862,110
92,45.0,6.9282032302755105,90
93,40.5,9.526279441628825,60
94,41.0,8.660254037844387,60
95,40.0,8.660254037844387,60
96,1.5,6.062177826491071,50
97,2.0,5.196152422706632,60
98,40.5,9.526279441628825,50
99,49.0,10.392304845413264,30
100,47.0,12.124355652982143,40
101,1.5,4.330127018922194,30
102,2.0,1.7320508075688776,260
103,40.0,10.392304845413264,500
104,48.5,11.258330249197702,450
105,1.0,41.569219381653056,50
106,0.5,38.97114317029974,60
107,1.0,6.9282032302755105,60
108,39.5,9.526279441628825,50
109,49.5,9.526279441628825,50
110,39.0,10.392304845413264,50
111,41.0,10.392304845413264,60
112,2.5,4.330127018922194,60
113,3.5,7.794228634059948,60
114,1.5,37.23909236273086,60
115,2.0,36.373066958946424,190
116,39.0,13.856406460551021,220
117,3.0,36.373066958946424,170
118,6.0,10.392304845413264,390
119,4.0,12.124355652982143,90
120,37.0,12.124355652982143,60
121,6.0,10.392304845413264,290
122,6.0,10.392304845413264,130
123,4.5,37.23909236273086,140
124,36.5,12.99038105676658,240
125,7.0,10.392304845413264,50
126,6.5,11.258330249197702,60
127,5.0,36.373066958946424,60
128,5.0,36.373066958946424,60
129,6.5,11.258330249197702,370
130,6.5,11.258330249197702,200
131,4.5,35.50704155516199,70
132,4.5,35.50704155516199,50
133,6.5,11.258330249197702,40
134,36.0,12.124355652982143,40
135,4.0,12.124355652982143,30
136,5.5,11.258330249197702,30
137,7.5,11.258330249197702,30
138,35.0,12.124355652982143,30
139,7.5,11.258330249197702,40
140,39.0,19.05255888325765,50
141,8.0,12.124355652982143,40
142,4.5,33.77499074759311,40
143,44.0,29.444863728670914,40
144,38.5,16.454482671904337,60
145,5.0,13.856406460551021,60
146,4.0,34.64101615137755,210
147,37.5,14.722431864335457,380
148,4.0,36.373066958946424,370
149,38.0,12.124355652982143,230
150,46.0,6.9282032302755105,80
151,46.5,6.062177826491071,90
152,6.0,3.4641016151377553,70
