dimensions,fuzzy_sets,rmse,mae,mape,smape,nrmse,rmse_std,mae_std,mape_std,smape_std,nrmse_std
2,10,26.547,19.914,29.713,11.507,0.069,13.601,10.529,17.554,5.511,0.063
2,20,18.357,9.81,12.255,4.896,0.045,22.659,9.728,11.879,3.743,0.057
2,30,12.663,6.029,7.165,2.961,0.037,16.707,5.998,7.036,2.417,0.052
2,40,4.572,2.899,2.858,1.343,0.014,3.545,3.703,2.447,1.12,0.02
2,50,2.871,1.988,1.488,0.69,0.009,3.021,3.573,1.438,0.645,0.012
3,10,12.569,8.523,12.598,5.144,0.039,9.164,7.23,10.413,3.801,0.056
3,20,3.793,2.477,2.323,1.069,0.011,4.638,3.966,3.084,1.374,0.018
3,30,1.58,1.439,0.576,0.267,0.005,2.72,3.692,0.7,0.332,0.009
3,40,0.328,1.155,0.127,0.061,0.001,0.461,3.721,0.222,0.108,0.001
3,50,0.523,1.183,0.175,0.086,0.002,1.18,3.716,0.344,0.181,0.006
4,10,3.789,2.705,2.778,1.256,0.011,4.669,4.333,4.239,1.836,0.021
4,20,0.801,1.329,0.444,0.199,0.003,1.377,3.856,0.871,0.369,0.007
4,30,0.229,1.128,0.082,0.035,0.001,0.774,3.732,0.222,0.091,0.001
4,40,0.073,1.098,0.031,0.013,0.0,0.168,3.737,0.099,0.037,0.0
4,50,0.06,1.098,0.032,0.013,0.0,0.175,3.736,0.104,0.04,0.0
5,10,5.175,3.431,6.467,1.151,0.041,20.992,11.192,32.217,4.791,0.211
5,20,0.091,1.103,0.039,0.017,0.0,0.218,3.747,0.108,0.042,0.0
5,30,0.044,1.094,0.025,0.009,0.0,0.155,3.74,0.099,0.037,0.0
5,40,0.04,1.093,0.024,0.009,0.0,0.15,3.738,0.099,0.036,0.0
5,50,0.039,1.093,0.024,0.009,0.0,0.15,3.738,0.099,0.036,0.0
