dimensions,fuzzy_sets,rmse,mae,mape,smape
2,10,15.57,20.147,12.618,4.881
2,20,9.453,7.004,7.549,3.739
2,30,4.514,2.56,2.766,1.139
2,40,3.935,2.478,1.841,0.789
2,50,1.199,1.425,0.558,0.269
3,10,5.729,7.605,2.869,1.171
3,20,1.263,1.593,0.572,0.272
3,30,0.323,0.974,0.121,0.056
3,40,0.207,0.929,0.047,0.019
3,50,0.217,0.948,0.06,0.026
4,10,1.174,1.233,0.453,0.199
4,20,0.598,1.112,0.299,0.122
4,30,0.121,0.932,0.061,0.029
4,40,0.043,0.913,0.024,0.009
4,50,0.039,0.912,0.024,0.009
5,10,0.484,0.98,0.043,0.019
5,20,0.08,0.918,0.026,0.01
5,30,0.047,0.914,0.024,0.009
5,40,0.041,0.913,0.024,0.009
5,50,0.039,0.912,0.024,0.009
6,10,0.547,0.972,0.059,0.028
6,20,0.07,0.917,0.025,0.009
6,30,0.047,0.914,0.024,0.009
6,40,0.041,0.913,0.024,0.009
6,50,0.039,0.912,0.024,0.009
