dimensions,fuzzy_sets,rmse,mae,mape,smape
2,10,31.388,23.469,36.062,13.352
2,20,18.793,10.325,14.334,5.89
2,30,12.295,5.714,6.965,2.934
2,40,10.802,4.315,5.063,2.113
2,50,5.516,2.493,2.405,1.107
3,10,20.251,12.914,19.361,7.428
3,20,9.689,4.09,4.433,1.821
3,30,2.948,1.636,1.005,0.448
3,40,1.609,1.239,0.601,0.28
3,50,0.781,1.029,0.216,0.103
4,10,11.872,5.782,7.356,2.968
4,20,1.663,1.304,0.549,0.255
4,30,0.792,1.033,0.201,0.086
4,40,0.137,0.925,0.044,0.019
4,50,0.078,0.917,0.033,0.013
5,10,5.314,3.003,2.921,1.209
5,20,0.407,0.988,0.124,0.059
5,30,0.099,0.922,0.039,0.017
5,40,0.047,0.913,0.025,0.01
5,50,0.069,0.915,0.026,0.01
6,10,2.858,1.549,0.902,0.418
6,20,0.145,0.93,0.047,0.02
6,30,0.067,0.916,0.029,0.012
6,40,0.041,0.913,0.024,0.009
6,50,0.039,0.912,0.024,0.009
