dimensions,fuzzy_sets,rmse,mae,mape,smape
2,10,28.378,20.729,29.656,11.512
2,20,17.643,9.237,11.797,4.897
2,30,11.561,4.771,5.65,2.349
2,40,8.686,2.985,3.172,1.3
2,50,4.868,2.04,1.75,0.743
3,10,18.052,9.598,13.841,5.303
3,20,5.136,2.312,2.221,0.989
3,30,2.428,1.364,0.691,0.309
3,40,1.246,1.09,0.276,0.126
3,50,0.705,0.994,0.136,0.061
4,10,8.849,4.037,5.347,1.885
4,20,1.468,1.195,0.481,0.21
4,30,0.432,0.974,0.113,0.053
4,40,0.147,0.934,0.064,0.028
4,50,0.088,0.92,0.036,0.015
5,10,3.336,1.995,1.875,0.813
5,20,0.322,0.966,0.115,0.054
5,30,0.087,0.919,0.034,0.014
5,40,0.045,0.913,0.025,0.009
5,50,0.039,0.912,0.024,0.009
6,10,1.753,1.366,0.871,0.388
6,20,0.113,0.923,0.035,0.015
6,30,0.055,0.914,0.025,0.01
6,40,0.041,0.913,0.024,0.009
6,50,0.039,0.912,0.024,0.009
