dimensions,fuzzy_sets,rmse,mae,mape,smape,nrmse,rmse_std,mae_std,mape_std,smape_std,nrmse_std
2,10,0.556,0.428,103.394,27.086,0.104,0.105,0.069,45.556,7.221,0.059
2,20,0.43,0.307,70.099,21.351,0.08,0.093,0.06,37.291,7.301,0.045
2,30,0.396,0.294,64.52,20.421,0.073,0.113,0.083,31.816,6.807,0.037
2,40,0.352,0.254,55.072,17.662,0.064,0.134,0.097,32.071,6.712,0.032
2,50,0.369,0.272,63.554,19.111,0.07,0.142,0.11,41.078,7.315,0.045
3,10,0.528,0.424,104.344,27.232,0.101,0.099,0.07,47.2,7.314,0.065
3,20,0.317,0.241,56.548,17.96,0.062,0.08,0.06,36.074,7.952,0.045
3,30,0.206,0.136,29.725,10.547,0.044,0.073,0.064,31.167,7.931,0.05
3,40,0.149,0.078,14.108,5.666,0.03,0.068,0.041,10.918,3.718,0.027
3,50,0.093,0.037,6.444,2.456,0.019,0.069,0.027,8.483,2.517,0.019
4,10,0.422,0.346,84.954,23.617,0.083,0.136,0.108,48.668,8.093,0.069
4,20,0.133,0.098,29.106,9.673,0.033,0.077,0.071,37.539,9.694,0.052
4,30,0.065,0.038,7.425,3.187,0.014,0.051,0.034,9.543,3.77,0.02
4,40,0.021,0.011,2.08,0.889,0.005,0.029,0.017,4.785,1.942,0.011
4,50,0.019,0.007,0.697,0.321,0.005,0.029,0.01,1.521,0.672,0.009
5,10,0.253,0.199,51.635,16.012,0.053,0.106,0.096,40.525,9.612,0.053
5,20,0.053,0.038,13.018,4.073,0.017,0.064,0.052,32.234,8.012,0.049
5,30,0.013,0.009,1.803,0.75,0.003,0.025,0.017,5.577,2.201,0.007
5,40,0.005,0.004,0.291,0.141,0.001,0.008,0.007,0.837,0.395,0.003
5,50,0.001,0.003,0.124,0.057,0.0,0.005,0.006,0.569,0.259,0.001
