dimensions,fuzzy_sets,rmse,mae,mape,smape
2,10,0.507,0.386,93.654,25.476
2,20,0.383,0.268,60.252,19.274
2,30,0.34,0.232,51.57,17.037
2,40,0.324,0.218,48.976,16.253
2,50,0.304,0.206,46.722,15.533
3,10,0.451,0.359,92.251,24.938
3,20,0.32,0.23,57.631,17.769
3,30,0.268,0.186,47.405,15.246
3,40,0.245,0.158,40.042,13.104
3,50,0.227,0.137,37.023,11.837
4,10,0.398,0.325,90.238,24.065
4,20,0.257,0.186,51.104,15.894
4,30,0.217,0.143,41.447,13.013
4,40,0.201,0.116,33.966,10.828
4,50,0.182,0.098,30.187,9.548
