dimensions,fuzzy_sets,rmse,mae,mape,smape
2,10,0.339,0.278,63.341,15.58
2,20,0.209,0.126,34.541,5.79
2,30,0.101,0.041,17.692,2.331
2,40,0.059,0.014,2.874,0.97
2,50,0.047,0.014,2.344,0.78
3,10,0.188,0.086,20.641,4.629
3,20,0.033,0.01,1.622,0.72
3,30,0.025,0.004,0.537,0.203
3,40,0.015,0.005,0.834,0.241
3,50,0.007,0.003,0.435,0.136
4,10,0.068,0.032,6.151,1.951
4,20,0.011,0.004,0.471,0.15
4,30,0.002,0.002,0.207,0.054
4,40,0.002,0.002,0.213,0.054
4,50,0.001,0.002,0.193,0.047
5,10,0.034,0.008,1.823,0.514
5,20,0.002,0.002,0.199,0.051
5,30,0.001,0.002,0.195,0.048
5,40,0.0,0.002,0.19,0.046
5,50,0.0,0.002,0.19,0.046
6,10,0.009,0.004,0.397,0.136
6,20,0.001,0.002,0.189,0.046
6,30,0.001,0.002,0.189,0.045
6,40,0.0,0.002,0.19,0.046
6,50,0.0,0.002,0.19,0.046
