dimensions,fuzzy_sets,rmse,mae,mape,smape
2,10,0.496,0.367,238.393,21.833
2,20,0.387,0.262,145.92,16.811
2,30,0.329,0.197,122.129,13.158
2,40,0.259,0.14,96.22,9.39
2,50,0.221,0.106,32.536,7.178
3,10,0.42,0.315,204.197,19.39
3,20,0.235,0.123,127.802,8.38
3,30,0.139,0.057,35.617,3.966
3,40,0.095,0.029,7.355,2.024
3,50,0.049,0.015,3.735,1.117
4,10,0.305,0.203,122.157,13.742
4,20,0.119,0.053,14.55,3.635
4,30,0.047,0.013,3.546,1.0
4,40,0.023,0.006,0.902,0.322
4,50,0.012,0.004,0.565,0.199
5,10,0.208,0.129,67.093,9.357
5,20,0.052,0.017,3.522,1.195
5,30,0.019,0.005,2.238,0.353
5,40,0.004,0.003,0.309,0.097
5,50,0.002,0.003,0.23,0.065
6,10,0.159,0.08,28.949,5.847
6,20,0.024,0.008,1.42,0.539
6,30,0.005,0.002,0.336,0.115
6,40,0.003,0.003,0.23,0.063
6,50,0.001,0.002,0.196,0.049
