dimensions,fuzzy_sets,rmse,mae,mape,smape
2,10,0.453,0.33,228.342,20.219
2,20,0.358,0.214,186.869,13.483
2,30,0.305,0.157,89.668,9.745
2,40,0.259,0.113,30.538,6.993
2,50,0.218,0.082,21.75,5.042
3,10,0.323,0.222,114.761,15.04
3,20,0.166,0.074,20.142,5.004
3,30,0.102,0.032,6.551,2.083
3,40,0.058,0.015,2.941,0.957
3,50,0.033,0.009,1.386,0.504
4,10,0.173,0.099,36.491,7.871
4,20,0.05,0.016,3.496,1.201
4,30,0.018,0.005,0.881,0.332
4,40,0.013,0.004,0.578,0.18
4,50,0.005,0.003,0.311,0.098
5,10,0.1,0.046,15.217,3.906
5,20,0.015,0.005,0.936,0.289
5,30,0.003,0.002,0.25,0.072
5,40,0.001,0.002,0.221,0.058
5,50,0.0,0.002,0.194,0.048
6,10,0.054,0.021,7.224,1.853
6,20,0.004,0.003,0.291,0.091
6,30,0.001,0.002,0.192,0.047
6,40,0.0,0.002,0.191,0.046
6,50,0.0,0.002,0.19,0.046
