window,rmse,mape,mae,r2,smape,nrmse
0,0.75,50.355,0.37,0.081,0.37,0.179
1679,0.674,131.199,0.37,0.081,0.37,0.164
3358,0.45,157.715,0.37,0.081,0.37,0.16
5037,0.87,63.027,0.37,0.081,0.37,0.174
6716,0.574,214.389,0.37,0.081,0.37,0.158
8395,0.405,215.546,0.37,0.081,0.37,0.152
10074,0.714,226.488,0.37,0.081,0.37,0.165
11753,0.42,34.403,0.37,0.081,0.37,0.123
13432,0.571,250.039,0.37,0.081,0.37,0.131
15111,0.659,70.054,0.37,0.081,0.37,0.116
16790,0.649,79.512,0.37,0.081,0.37,0.093
18469,0.524,196.416,0.37,0.081,0.37,0.081
20148,0.205,314.107,0.37,0.081,0.37,0.082
21827,0.377,622.577,0.37,0.081,0.37,0.148
23506,0.426,223.415,0.37,0.081,0.37,0.121
25185,0.565,281.929,0.37,0.081,0.37,0.136
26864,2.425,55.887,0.37,0.081,0.37,0.204
28543,3.005,285.512,0.37,0.081,0.37,0.27
30222,2.32,52.712,0.37,0.081,0.37,0.266
31901,2.374,1233.129,0.37,0.081,0.37,0.212
33580,0.739,64.82,0.37,0.081,0.37,0.128
35259,1.497,73.75,0.37,0.081,0.37,0.216
36938,0.824,125.927,0.37,0.081,0.37,0.088
38617,0.446,171.668,0.37,0.081,0.37,0.155
40296,0.714,49.36,0.37,0.081,0.37,0.135
41975,0.471,74.059,0.37,0.081,0.37,0.114
43654,0.538,198.535,0.37,0.081,0.37,0.204
45333,0.695,97.374,0.37,0.081,0.37,0.215
47012,0.463,263.771,0.37,0.081,0.37,0.162
48691,0.555,114.098,0.37,0.081,0.37,0.158
